"Story","Title","Result","Date","Stability","Duration (s)"
"Saucedemo page","add a product to the shopping cart","SUCCESS","2024-01-12T12:50:44.632-05:00[America/Bogota]","0.0","48.42"
"Saucedemo page","add multiples products to the shopping cart","SUCCESS","2024-01-12T17:41:01.739-05:00[America/Bogota]","0.0","55.08"
